ID,Cohort,Gender
470,1517PT,M
471,1517PT,F
472,1517PT,F
473,1517PT,F
474,1517PT,F
475,1517PT,M
476,1517PT,F
477,1517PT,F
478,1517PT,F
479,1517PT,F
480,1517PT,F
481,1517PT,M
482,1517PT,M
483,1517PT,F
484,1516FT,F
485,1516FT,F
486,1516FT,F
487,1516FT,F
488,1516FT,F
489,1516FT,M
490,1516FT,F
491,1516FT,F
492,1516FT,F
493,1516FT,F
494,1516FT,F
495,1516FT,F
496,1516FT,F
497,1516FT,F
498,1516FT,F
499,1516FT,M
500,1516FT,F
501,1516FT,F
502,1516FT,F
503,1415FT,F
504,1415FT,M
505,1415FT,F
506,1415FT,F
507,1415FT,M
508,1415FT,F
509,1415FT,F
510,1415FT,M
511,1415FT,F
512,1415FT,M
513,1315PT,F
514,1315PT,F
515,1315PT,F
516,1315PT,F
517,1315PT,F
518,1315PT,M
519,1315PT,M
520,1315PT,M
521,1315PT,F
522,1315PT,F
523,1315PT,F
524,1315PT,F
525,1315PT,M
526,1315PT,F
527,1315PT,F
528,1315PT,M
529,1315PT,M
530,1315PT,F
531,1315PT,F
532,1315PT,F
533,1315PT,F
534,1315PT,F
535,1315PT,F
536,1315PT,F
537,1314FT,F
538,1314FT,F
539,1314FT,F
540,1314FT,M
541,1314FT,F
542,1314FT,F
543,1314FT,F
544,1314FT,M
545,1214PT,M
546,1214PT,M
547,1214PT,F
548,1214PT,F
549,1214PT,F
550,1214PT,F
551,1214PT,F
552,1214PT,F
553,1214PT,M
554,1214PT,M
555,1214PT,F
556,1214PT,F
557,1214PT,F
558,1214PT,M
559,1214PT,F
560,1214PT,F
561,1214PT,M
562,1214PT,F
563,1214PT,F
564,1214PT,F
565,1214PT,F
566,1214PT,M
567,1214PT,F
568,1214PT,F
569,1213FT,F
570,1213FT,M
571,1213FT,F
572,1213FT,F
573,1213FT,F
574,1213FT,F
575,1113PT,M
576,1113PT,F
577,1113PT,F
578,1113PT,F
579,1113PT,F
580,1113PT,M
581,1113PT,M
582,1113PT,F
583,1113PT,M
584,1113PT,F
585,1113PT,F
586,1113PT,F
587,1113PT,F
588,1113PT,M
589,1113PT,M
590,1113PT,M
591,1113PT,M
592,1113PT,F
593,1113PT,M
594,1113PT,F
595,1113PT,M
596,1012,F
597,1012,F
598,1012,F
599,1012,F
600,1012,F
601,1012,F
602,1012,F
603,1012,F
604,1012,M
605,1012,M
606,1012,F
607,1012,F
608,1012,M
609,1012,F
610,1012,M
611,1012,M
612,1012,M
613,1012,F
614,1012,F
615,1012,F
616,1012,M
617,1012,F
618,1012,F
619,0911,F
620,0911,F
621,0911,F
622,0911,F
